link,content,sentiment,location,username,display_name,created_at,like_count,reply_count,repost_count,post_id,search_term,collected_at,user_post_number
https://bsky.app/profile/brasil247.bsky.social/post/3mao6obzhdc2o,Nova onda de calor vem ai; confira as regiões mais afetadas - www.brasil247.com/meioambiente...,,,brasil247.bsky.social,Brasil 247,2025-12-23T16:37:23.402Z,1,0,0,3mao6obzhdc2o,AI,2025-12-23T17:40:00.688021,1
https://bsky.app/profile/sarahp.bsky.social/post/3mao6obycm226,"Amazon’s AI assistant Alexa+ now works with Angi, Expedia, Square, and Yelp",,,sarahp.bsky.social,Sarah Perez,2025-12-23T16:37:21.000Z,0,0,0,3mao6obycm226,AI,2025-12-23T17:40:00.902952,1
https://bsky.app/profile/niedermeyer.online/post/3mao6o76h7s2f,"The year is 2027. A collapsing AI bubble has turned massive data centers into ""Trumpvilles."" Tesla stock closes up as Musk reveals new prototype genital prosthesis. DOJ releases letter from Jeffery Epstein to ""Subway Jared,"" reminiscing about ""hanging out with Trump at the secret pedo convention.""",,,niedermeyer.online,e.w. niedermeyer,2025-12-23T16:37:20.420Z,27,1,4,3mao6o76h7s2f,AI,2025-12-23T17:40:01.121789,1
https://bsky.app/profile/sarahp.mastodon.social.ap.brid.gy/post/3mao6od6uukb2,"Amazon’s AI assistant Alexa+ now works with Angi, Expedia, Square, and Yelp https://techcrunch.com/2025/12/23/amazons-ai-assistant-alexa-now-works-with-angi-expedia-square-and-yelp/",,,sarahp.mastodon.social.ap.brid.gy,Sarah Perez 💙,2025-12-23T16:37:20.000Z,0,0,2,3mao6od6uukb2,AI,2025-12-23T17:40:01.339246,1
https://bsky.app/profile/heretic-saint.bsky.social/post/3mao6nvdxqk2x,They’re using AI period. Thats game over for me. We don’t condone the slop machine at any stage of game development.,,,heretic-saint.bsky.social,Revy - Heretic til the end,2025-12-23T16:37:10.115Z,0,1,0,3mao6nvdxqk2x,AI,2025-12-23T17:40:01.550164,1
https://bsky.app/profile/grumpymat.bsky.social/post/3mao6nrzapc2k,"With so many AI companies promoting their products as safe and intelligent and whatnot, not to mention trying to outshout any public awareness that would lead to the AI bubble bursting, it's hard to blame the victims. She *could* have known better, but that's all.",,,grumpymat.bsky.social,Grumpy Mat,2025-12-23T16:37:06.617Z,0,0,0,3mao6nrzapc2k,AI,2025-12-23T17:40:01.768152,1
https://bsky.app/profile/tin-tuc-viet-duc.bsky.social/post/3mao6nrlcch27,ai nạn tông xe rồi bỏ chạy ở Bonn-Endenich: Một phụ nữ bị thương trong vụ tai nạn – cảnh sát đang tìm kiếm nhân chứng,,,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,2025-12-23T16:37:04.894Z,0,0,0,3mao6nrlcch27,AI,2025-12-23T17:40:01.981721,1
https://bsky.app/profile/umarditta.bsky.social/post/3mao6nn6hlc2a,"Dubai is best described as a ""gen-AI city"" (derogatory).",,,umarditta.bsky.social,Umar Ditta,2025-12-23T16:37:01.546Z,0,0,0,3mao6nn6hlc2a,AI,2025-12-23T17:40:02.194296,1
https://bsky.app/profile/ima-cygnenoir52.bsky.social/post/3mao6nlvaak2x,does he think AI will spare the old dinosaurs like him?,,,ima-cygnenoir52.bsky.social,Ima Cygnenoir,2025-12-23T16:37:00.194Z,0,0,0,3mao6nlvaak2x,AI,2025-12-23T17:40:02.406198,1
https://bsky.app/profile/priskka.bsky.social/post/3mao6nhqrxk2c,"A teoria da Hannah é de que tratado ele seria ainda melhor. E eu tendo a pensar da mesma forma. Eu não sou muito adepta do sofrimento artístico, acho que ele justifica muita atrocidade que a gente vê por aí. Mas tudo são conjecturas, né? Nunca saberemos de fato.",,,priskka.bsky.social,Priscila Armani,2025-12-23T16:36:55.855Z,0,0,0,3mao6nhqrxk2c,AI,2025-12-23T17:40:02.620283,1
https://bsky.app/profile/angietheoptimus.bsky.social/post/3mao6n6txpc2p,every day in every way ai is the tool of authoritarianism,,,angietheoptimus.bsky.social,Angie the Optimist (again),2025-12-23T16:36:46.522Z,1,0,0,3mao6n6txpc2p,AI,2025-12-23T17:40:02.845238,1
